date,test_score,seed,batch_size,epochs,lr,gamma,step,val_split,img_size,resume_file,augment,learning_curves_file,best_model_file
16-03-2023_13:42:48,0.499710589677813,631,4,200,0.03,2,100,0.2,"(256, 256, 3)",checkpoints/15-03-2023_20:43:18_transunet_best_model.h5,True,results/16-03-2023_13:42:48_transunet_learning_curves.png,16-03-2023_13:42:48_transunet_best_model.h5
16-03-2023_17:15:24,0.5836702376525067,631,8,200,0.03,2.0,200,0.2,"(256, 256, 3)",,False,results/16-03-2023_17:15:24_unet3plus_learning_curves.png,16-03-2023_17:15:24_unet3plus_best_model.h5
16-03-2023_17:31:28,0.6564208753431927,631,8,200,0.03,2.0,200,0.2,"(256, 256, 3)",,False,results/16-03-2023_17:31:28_resunet_a_learning_curves.png,16-03-2023_17:31:28_resunet_a_best_model.h5
16-03-2023_18:04:15,0.5889244107287998,631,8,200,0.03,2.0,200,0.2,"(256, 256, 3)",,False,results/16-03-2023_18:04:15_attunet_learning_curves.png,16-03-2023_18:04:15_attunet_best_model.h5
16-03-2023_18:21:23,0.6011386879140337,631,4,200,0.03,2.0,200,0.2,"(256, 256, 3)",,False,results/16-03-2023_18:21:23_transunet_learning_curves.png,16-03-2023_18:21:23_transunet_best_model.h5
16-03-2023_20:53:19,0.624698237873405,631,8,300,0.03,2.0,150,0.2,"(256, 256, 3)",checkpoints/16-03-2023_18:04:15_attunet_best_model.h5,True,results/16-03-2023_20:53:19_attunet_learning_curves.png,16-03-2023_20:53:19_attunet_best_model.h5
16-03-2023_21:20:57,0.5633801921805888,631,8,300,0.03,2.0,150,0.2,"(256, 256, 3)",checkpoints/16-03-2023_17:31:28_resunet_a_best_model.h5,True,results/16-03-2023_21:20:57_resunet_a_learning_curves.png,16-03-2023_21:20:57_resunet_a_best_model.h5
16-03-2023_22:08:33,0.6029280946723828,631,4,300,0.03,2.0,150,0.2,"(256, 256, 3)",checkpoints/16-03-2023_18:21:23_transunet_best_model.h5,True,results/16-03-2023_22:08:33_transunet_learning_curves.png,16-03-2023_22:08:33_transunet_best_model.h5
17-03-2023_07:31:49,0.6433833606497771,631,8,300,0.03,2.0,150,0.2,"(256, 256, 3)",checkpoints/16-03-2023_17:15:24_unet3plus_best_model.h5,True,results/17-03-2023_07:31:49_unet3plus_learning_curves.png,17-03-2023_07:31:49_unet3plus_best_model.h5
17-03-2023_08:19:23,0.581339301084524,631,4,300,0.003,2.0,150,0.2,"(256, 256, 3)",checkpoints/16-03-2023_22:08:33_transunet_best_model.h5,True,results/17-03-2023_08:19:23_transunet_learning_curves.png,17-03-2023_08:19:23_transunet_best_model.h5
17-03-2023_13:41:52,0.5921187627688712,631,8,300,0.003,2.0,150,0.2,"(256, 256, 3)",checkpoints/16-03-2023_20:53:19_attunet_best_model.h5,True,results/17-03-2023_13:41:52_attunet_learning_curves.png,17-03-2023_13:41:52_attunet_best_model.h5
